"","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","i38","i39","i40","i41","i42","i43","i44","i45","i46","i47","i48","i49","i50","i51","i52","i53","i54","i55","i56","i57","i58","i59","i60","i61","i62","i63","i64","i65","i66","i67","i68","i69","i70","i71","i72","i73","i74","i75","i76","i77","i78","i79","i80","i81","i82","i83","i84","i85","i86","i87","i88","i89","i90","i91","i92","i93","i94","i95","i96","i97","i98","i99","i100"
"u510",NA,NA,7,NA,NA,6,NA,NA,6,5,5,NA,7,6,NA,6,3,NA,NA,NA,5,6,6,NA,NA,NA,NA,6,5,4,NA,NA,NA,5,5,5,6,NA,NA,NA,NA,4,NA,NA,NA,NA,6,NA,NA,6,7,NA,NA,4,4,5,4,NA,NA,6,NA,NA,5,NA,NA,5,5,6,6,3,NA,NA,NA,6,NA,4,NA,NA,6,6,5,6,7,4,7,3,5,NA,NA,5,NA,5,NA,5,7,7,4,7,NA,5
"u511",5,5,NA,5,NA,6,5,6,NA,NA,NA,NA,5,7,NA,5,NA,6,NA,NA,NA,NA,NA,5,5,NA,NA,5,6,NA,4,5,5,NA,5,4,5,3,5,NA,4,5,6,4,4,7,6,NA,5,4,9,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,5,5,5,5,4,6,6,NA,NA,5,5,5,NA,NA,5,NA,6,5,NA,NA,NA,NA,NA,5,NA,6,NA,NA,NA,NA,NA,6,NA,NA,4,6,NA,7
"u512",6,NA,6,NA,NA,5,7,6,NA,7,6,4,NA,NA,NA,5,NA,NA,6,NA,NA,NA,4,7,NA,NA,NA,NA,4,7,7,5,7,6,NA,NA,NA,6,6,NA,5,6,NA,4,NA,NA,6,NA,5,NA,NA,5,5,7,6,4,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,4,6,NA,NA,NA,4,4,NA,NA,6,NA,4,NA,NA,5,6,5,6,NA,NA,NA,NA,5,NA,NA,6,6,NA
"u513",7,NA,6,NA,4,NA,7,NA,7,NA,6,NA,NA,NA,6,NA,4,4,7,NA,5,5,5,NA,5,NA,NA,NA,5,5,6,NA,NA,4,5,NA,NA,NA,6,NA,NA,NA,NA,6,NA,6,5,6,NA,5,NA,6,5,NA,NA,4,5,NA,5,6,NA,NA,6,NA,NA,4,NA,6,6,4,7,6,NA,6,NA,NA,NA,4,5,4,NA,5,8,5,NA,4,NA,4,NA,NA,NA,4,5,NA,NA,4,5,7,NA,NA
"u514",NA,5,NA,6,NA,6,6,NA,NA,NA,4,4,5,NA,NA,NA,5,5,NA,NA,6,6,5,NA,NA,NA,8,5,5,NA,NA,3,6,5,6,NA,4,NA,5,6,5,NA,NA,4,4,7,5,6,5,NA,6,NA,5,5,5,NA,NA,NA,4,4,NA,4,NA,5,6,5,4,NA,5,NA,NA,5,NA,NA,NA,4,4,NA,6,6,NA,NA,7,4,NA,NA,NA,NA,NA,6,NA,NA,6,NA,NA,4,5,6,7,7
"u515",6,NA,7,NA,5,7,NA,4,7,NA,6,NA,NA,NA,6,NA,6,6,7,5,5,6,3,NA,NA,4,NA,NA,NA,8,6,5,6,5,NA,NA,NA,5,NA,NA,4,5,NA,NA,NA,NA,5,NA,NA,NA,9,5,NA,5,NA,NA,7,4,NA,4,6,5,5,3,NA,NA,5,NA,NA,6,NA,NA,4,5,NA,3,NA,7,3,6,NA,6,6,NA,4,NA,5,6,NA,5,NA,5,NA,5,3,NA,NA,6,5,7
"u516",6,5,5,5,NA,NA,NA,7,NA,6,5,5,6,6,3,NA,4,NA,6,6,NA,6,5,3,NA,NA,NA,4,7,NA,4,5,NA,6,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,6,NA,NA,NA,5,NA,NA,7,7,4,4,6,6,6,NA,NA,5,6,NA,NA,NA,NA,NA,5,5,6,NA,NA,7,7,NA,NA,6,NA,6,NA,NA,NA,4,5,6,NA,5,NA,6,5,NA,6,NA,6,NA,NA,NA,NA,NA
"u517",6,6,NA,5,NA,5,NA,NA,NA,NA,3,NA,NA,NA,4,4,5,NA,NA,6,NA,NA,5,6,NA,NA,NA,3,NA,4,5,NA,5,NA,NA,NA,5,5,6,3,NA,6,5,4,NA,NA,NA,NA,6,5,NA,NA,NA,5,NA,5,NA,4,6,5,NA,4,7,4,NA,6,NA,NA,NA,NA,5,5,6,NA,6,4,NA,NA,NA,NA,5,NA,7,6,6,NA,6,5,NA,NA,NA,NA,6,4,6,NA,5,7,6,8
"u518",NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,6,4,6,6,3,NA,NA,6,5,NA,7,5,5,4,4,7,NA,NA,NA,5,NA,6,5,6,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,5,NA,NA,NA,NA,6,NA,6,7,NA,5,NA,5,NA,7,NA,NA,6,NA,NA,5,NA,NA,NA,NA,6,NA,6,5,6,NA,NA,NA,6,5,6,5,NA,5,NA,4,NA,NA,NA,6,NA,NA,4,5,NA,6,4,7,5,NA
"u519",NA,NA,7,NA,NA,6,NA,6,NA,NA,5,5,5,NA,NA,NA,NA,6,6,4,NA,8,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,6,NA,6,4,NA,4,6,NA,NA,5,7,5,5,NA,NA,NA,NA,5,6,6,5,NA,5,6,6,NA,NA,4,6,4,7,NA,6,4,4,NA,NA,4,6,NA,4,NA,NA,4,4,5,NA,5,NA,NA,5,NA,5,NA,4,NA,NA,NA,4,6,NA,6,NA,5,NA,7,5,7
"u520",NA,4,6,5,NA,NA,6,5,NA,NA,NA,NA,NA,6,NA,NA,5,NA,NA,6,4,6,5,6,7,5,7,5,NA,7,NA,NA,5,4,NA,NA,6,NA,6,NA,NA,NA,7,3,NA,8,6,6,6,5,6,NA,4,5,5,6,NA,NA,4,5,NA,3,NA,NA,NA,8,NA,7,6,4,7,3,6,NA,4,NA,NA,5,5,7,5,NA,NA,4,NA,NA,5,6,NA,7,4,4,7,NA,NA,NA,6,NA,5,7
"u521",NA,4,6,5,7,6,NA,NA,7,7,6,NA,NA,5,5,NA,4,5,8,6,4,7,4,NA,NA,5,8,6,7,NA,NA,NA,NA,NA,NA,3,5,NA,5,NA,4,5,6,NA,6,6,NA,NA,5,5,NA,5,6,5,5,NA,5,4,4,NA,7,NA,NA,NA,7,NA,NA,NA,NA,4,5,6,3,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,4,NA,5,NA,NA,4,NA,6,8
"u522",NA,NA,7,6,5,8,5,7,NA,8,NA,4,5,6,6,5,5,NA,5,NA,6,NA,5,5,NA,NA,6,5,5,6,5,5,NA,NA,5,NA,5,NA,NA,5,3,6,5,NA,6,NA,5,NA,NA,4,6,NA,NA,NA,NA,7,7,6,4,NA,NA,NA,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,7,5,6,5,NA,NA,NA,7,6,5,4,5,NA,5,4,6,NA,NA,NA,NA
"u523",NA,5,NA,NA,4,7,NA,5,NA,6,3,NA,NA,NA,5,6,5,NA,6,7,NA,8,4,NA,NA,NA,8,4,NA,5,NA,5,4,4,6,NA,NA,NA,6,NA,NA,7,NA,NA,4,NA,4,NA,NA,5,NA,NA,5,NA,4,NA,5,NA,5,NA,6,4,7,NA,7,4,NA,6,NA,NA,NA,NA,2,NA,NA,NA,4,4,NA,6,5,NA,6,5,5,5,5,NA,NA,5,NA,6,NA,NA,NA,NA,6,NA,NA,NA
"u524",6,5,7,6,4,NA,NA,NA,5,8,NA,4,5,5,6,3,6,NA,NA,6,6,7,4,3,5,6,NA,6,7,6,NA,NA,NA,4,4,NA,6,3,NA,NA,4,4,7,4,NA,NA,5,6,NA,5,NA,5,4,NA,NA,NA,NA,NA,NA,4,6,NA,8,6,NA,NA,4,7,NA,6,6,NA,5,7,NA,3,NA,5,6,6,5,NA,5,5,NA,NA,5,7,4,NA,NA,NA,7,5,NA,6,NA,6,4,NA
"u525",6,5,6,NA,NA,5,NA,5,NA,7,5,NA,NA,NA,NA,5,NA,NA,7,6,NA,NA,5,NA,6,6,NA,6,6,6,NA,6,NA,NA,NA,5,5,5,4,NA,NA,5,7,4,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,4,6,5,NA,6,7,NA,8,NA,6,6,NA,NA,6,4,NA,NA,NA,6,NA,4,NA,NA,6,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,5,7,NA,NA
"u526",NA,NA,5,6,NA,NA,6,6,6,NA,NA,5,NA,NA,NA,4,5,5,NA,6,5,NA,NA,NA,NA,NA,8,7,6,NA,NA,4,6,5,6,5,5,NA,7,6,4,5,5,NA,5,6,5,NA,NA,NA,6,5,NA,NA,4,NA,6,5,4,NA,NA,NA,5,6,6,NA,NA,NA,6,NA,6,NA,4,6,4,NA,4,NA,NA,6,NA,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,6,NA,NA,NA
"u527",NA,4,6,6,NA,NA,NA,6,NA,NA,4,6,NA,NA,NA,NA,NA,5,5,6,6,NA,NA,NA,6,NA,7,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,6,NA,3,6,6,NA,NA,7,NA,5,5,NA,NA,4,6,5,5,NA,7,NA,5,NA,NA,6,NA,3,NA,NA,4,NA,NA,4,7,7,NA,NA,7,4,NA,5,6,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,NA,6,NA,5,NA,4,7
"u528",NA,5,NA,5,5,7,NA,NA,6,NA,NA,6,5,NA,7,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,5,NA,5,NA,6,4,NA,NA,NA,NA,NA,5,4,7,NA,NA,3,NA,NA,NA,NA,6,NA,NA,4,NA,NA,5,4,NA,5,NA,5,4,5,NA,4,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,4,4,NA,5,5,NA,6,NA,6,NA,6,NA,5,7,NA,NA,NA,NA,6,NA,NA,NA,NA,9,NA,NA
"u529",6,5,5,5,NA,4,7,NA,NA,NA,NA,4,5,7,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,6,NA,NA,6,NA,NA,5,NA,NA,NA,6,3,6,NA,4,NA,8,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,6,5,NA,6,NA,NA,6,NA,5,NA,NA,6,NA,5,NA,NA,NA,NA,NA,4,7,6,6,8,NA,NA,7,4,NA,NA,NA,NA,5,5,5,NA,7,6,NA,6,5,6,NA,9
"u530",5,NA,NA,NA,5,NA,7,NA,NA,NA,5,4,5,4,NA,5,6,NA,NA,NA,6,8,NA,NA,NA,6,7,NA,NA,6,5,NA,5,4,5,NA,5,NA,4,NA,5,5,NA,5,NA,NA,7,5,NA,4,NA,5,NA,NA,3,5,7,4,4,NA,7,NA,NA,NA,5,NA,4,NA,8,NA,6,NA,NA,NA,NA,4,5,4,6,6,NA,5,7,5,NA,NA,5,4,6,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA
"u531",NA,5,NA,NA,5,7,NA,4,NA,NA,6,3,NA,NA,7,NA,6,6,8,5,6,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,6,NA,NA,6,NA,5,5,6,6,5,6,5,5,NA,NA,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,4,6,NA,NA,NA,5,6,7,5,NA,NA,NA,5,7,5,NA,6,6,NA,6,6,NA,5,6,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"u532",NA,4,NA,5,7,NA,5,NA,4,NA,NA,NA,5,NA,NA,NA,5,5,7,5,6,NA,3,5,5,NA,NA,4,6,NA,NA,NA,6,NA,6,5,6,NA,6,NA,4,NA,6,3,NA,7,5,6,NA,NA,NA,5,NA,NA,NA,NA,NA,4,6,5,NA,5,7,NA,5,NA,NA,5,8,NA,NA,NA,4,5,NA,NA,4,5,5,NA,NA,6,7,5,6,6,NA,7,NA,NA,5,NA,6,NA,NA,6,5,NA,NA,NA
"u533",6,NA,7,NA,NA,6,NA,5,NA,7,6,5,NA,5,NA,NA,5,NA,6,NA,NA,6,NA,6,6,4,9,4,NA,NA,6,4,5,NA,5,NA,NA,NA,6,5,NA,NA,5,NA,6,NA,NA,7,7,NA,NA,NA,NA,6,NA,NA,NA,5,NA,NA,7,NA,NA,5,NA,NA,4,7,NA,4,NA,6,NA,NA,NA,4,NA,NA,NA,NA,5,NA,6,4,NA,NA,5,NA,5,NA,6,NA,6,NA,5,5,6,NA,NA,7
"u534",6,NA,7,NA,4,7,NA,5,NA,5,6,NA,NA,NA,NA,4,5,6,NA,5,7,NA,5,5,NA,NA,NA,NA,NA,6,5,6,6,4,NA,5,6,6,NA,6,NA,4,NA,5,4,6,7,6,6,2,NA,NA,7,6,5,7,NA,5,NA,NA,6,4,6,NA,7,6,NA,NA,NA,4,NA,5,NA,NA,NA,4,4,4,6,6,5,6,7,6,NA,NA,NA,6,4,NA,5,5,NA,NA,NA,NA,NA,NA,5,7
"u535",6,NA,NA,6,6,NA,NA,6,6,NA,4,NA,NA,NA,5,NA,5,5,NA,7,3,NA,NA,NA,5,5,NA,5,NA,5,NA,NA,6,3,NA,NA,6,NA,NA,NA,NA,NA,NA,5,5,5,NA,7,NA,6,7,4,5,5,NA,NA,NA,3,4,NA,5,NA,8,NA,6,3,NA,NA,NA,NA,NA,6,2,NA,5,NA,4,5,6,7,NA,NA,6,NA,NA,4,NA,5,NA,5,4,5,NA,NA,NA,6,5,NA,5,9
"u536",6,6,NA,NA,4,NA,NA,NA,6,5,NA,NA,5,5,5,NA,5,6,6,NA,5,7,4,NA,NA,NA,NA,5,NA,NA,5,5,4,4,NA,4,7,5,NA,5,2,5,NA,NA,NA,4,NA,5,NA,3,NA,8,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7,NA,4,6,NA,5,NA,NA,NA,5,5,NA,4,NA,NA,NA,7,NA,5,NA,7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,9
"u537",NA,6,5,NA,NA,4,NA,6,NA,NA,NA,5,5,7,6,4,NA,7,8,NA,NA,NA,4,5,5,5,6,NA,NA,5,4,NA,NA,6,7,NA,NA,NA,4,NA,6,5,NA,4,5,7,6,6,NA,NA,NA,5,7,5,NA,5,NA,5,4,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,7,6,NA,NA,7,NA,5,NA,6,6,NA,NA,7,3,NA,NA,5,3,6,NA,NA,6,6,NA,NA,NA,3,8,6,8
"u538",NA,NA,NA,5,5,NA,NA,5,NA,NA,5,5,NA,NA,NA,4,7,NA,6,5,NA,NA,5,NA,NA,NA,8,5,NA,4,5,NA,NA,NA,5,NA,5,3,NA,NA,NA,NA,NA,3,NA,7,NA,6,7,5,7,5,5,5,NA,5,NA,NA,NA,NA,6,4,8,4,5,NA,NA,NA,9,5,5,6,5,NA,6,4,5,NA,6,5,NA,NA,NA,NA,5,4,4,6,NA,NA,NA,4,5,5,4,NA,NA,7,5,NA
"u539",5,NA,NA,NA,NA,5,6,4,5,NA,4,3,6,5,6,4,NA,NA,7,5,NA,NA,NA,5,5,5,9,NA,NA,NA,4,5,4,NA,5,NA,NA,4,NA,4,4,6,NA,NA,NA,NA,7,NA,4,5,NA,5,6,NA,7,4,NA,NA,4,NA,NA,NA,5,5,NA,NA,NA,NA,6,2,NA,4,5,5,6,5,4,6,NA,4,NA,5,NA,5,5,5,NA,NA,6,5,NA,NA,NA,4,4,7,5,NA,NA,NA
"u540",NA,4,NA,NA,NA,6,NA,5,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,6,NA,4,5,NA,4,NA,5,5,5,5,NA,NA,NA,6,4,5,4,7,6,NA,NA,NA,4,NA,NA,7,NA,5,NA,6,6,6,NA,NA,4,NA,5,NA,5,5,4,6,NA,NA,4,3,6,NA,NA,7,NA,NA,6,NA,NA,5,NA,NA,NA,NA,6,7,4,NA,5,5,NA,NA,5,5,NA,NA,5,NA,5,NA,NA,5,7
"u541",NA,6,NA,6,4,NA,7,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,6,5,5,6,6,NA,NA,5,5,7,5,NA,6,5,4,NA,5,NA,NA,NA,4,6,4,NA,7,NA,5,6,5,8,NA,NA,NA,NA,5,NA,4,NA,5,NA,4,5,NA,6,6,NA,NA,NA,5,7,5,NA,5,6,NA,6,NA,NA,NA,NA,6,7,4,6,NA,NA,NA,NA,5,6,NA,NA,7,NA,6,5,8,NA,NA
"u542",7,4,6,6,6,6,NA,NA,NA,8,4,NA,NA,NA,NA,3,4,NA,NA,4,6,6,NA,5,NA,NA,NA,NA,NA,NA,NA,4,5,5,7,NA,NA,6,NA,5,NA,5,NA,5,NA,8,NA,8,6,5,NA,NA,5,5,NA,NA,5,NA,6,5,NA,NA,7,5,NA,4,6,NA,NA,NA,6,5,5,6,NA,3,NA,4,7,NA,5,5,NA,5,4,NA,NA,5,4,5,NA,6,NA,NA,6,6,NA,6,NA,NA
"u543",NA,NA,NA,5,6,NA,5,6,5,7,NA,4,5,6,5,5,NA,5,NA,NA,NA,NA,NA,5,NA,4,7,NA,NA,NA,3,5,NA,4,NA,5,4,NA,6,6,3,NA,8,4,NA,NA,NA,6,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,4,7,5,NA,5,NA,NA,4,5,NA,NA,NA,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,7,4,7,NA,NA,NA,5,NA,NA,5,6,NA,6,7,6,6,NA,NA
"u544",NA,NA,NA,NA,NA,NA,6,NA,7,NA,NA,NA,6,NA,5,5,4,4,NA,5,NA,8,NA,6,NA,5,NA,NA,6,5,NA,NA,5,NA,NA,5,NA,NA,NA,5,3,4,NA,NA,6,NA,NA,NA,5,NA,6,5,NA,6,7,NA,7,NA,6,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,6,3,NA,5,NA,4,5,NA,5,4,NA,NA,5,NA,5,6,4,5,NA,NA,4,9
"u545",NA,6,NA,NA,3,NA,6,NA,NA,NA,5,NA,4,6,NA,4,6,5,NA,4,5,NA,5,5,7,NA,6,NA,NA,NA,6,NA,NA,NA,4,NA,NA,5,NA,4,2,NA,NA,NA,NA,7,6,7,6,NA,6,4,NA,5,NA,NA,5,4,4,5,NA,5,7,5,NA,5,5,NA,7,NA,NA,NA,5,NA,NA,NA,NA,5,6,6,NA,NA,NA,4,NA,4,NA,NA,4,NA,NA,6,6,NA,NA,4,NA,8,NA,8
"u546",5,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,6,6,5,5,5,NA,6,NA,NA,NA,NA,NA,5,NA,6,NA,NA,6,4,NA,6,5,NA,NA,4,NA,5,NA,5,6,5,3,6,NA,NA,NA,NA,NA,NA,5,6,NA,6,5,6,5,NA,NA,5,NA,6,NA,NA,5,5,NA,8,NA,6,6,NA,NA,NA,3,NA,6,NA,NA,7,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,NA,NA,NA,NA
"u547",NA,5,7,NA,NA,NA,6,NA,NA,NA,4,NA,6,NA,4,NA,5,6,NA,7,5,NA,NA,NA,NA,4,6,NA,6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,6,7,6,NA,NA,5,NA,NA,NA,6,6,4,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,5,NA,NA,6,3,NA,5,6,7,NA,6,6,NA,NA,NA,5,NA,5,NA,NA,2,6,NA,8
"u548",NA,NA,NA,6,5,6,NA,7,NA,NA,4,NA,NA,NA,NA,NA,NA,5,7,6,NA,9,5,3,7,NA,NA,7,NA,NA,NA,4,5,NA,NA,5,NA,NA,NA,5,NA,4,NA,5,NA,7,4,5,NA,NA,6,5,5,4,NA,NA,5,5,NA,NA,7,NA,NA,NA,6,4,NA,NA,NA,4,NA,5,NA,5,6,5,4,6,7,NA,5,NA,7,NA,5,NA,6,NA,NA,6,3,6,6,5,6,NA,NA,7,4,NA
"u549",6,4,NA,NA,5,4,5,NA,6,5,5,NA,5,7,NA,NA,5,NA,6,NA,4,6,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,7,NA,NA,NA,4,NA,NA,NA,6,NA,NA,NA,8,NA,NA,5,7,NA,NA,5,4,6,7,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,5,NA,5,5,5,NA,5,NA,8,NA,NA,NA,5,5,6,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA
"u550",NA,4,7,NA,NA,7,NA,6,NA,6,4,NA,NA,5,5,NA,4,5,5,NA,5,6,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,6,NA,3,NA,8,NA,3,NA,NA,4,5,7,NA,6,NA,7,5,NA,NA,5,4,NA,6,5,NA,5,6,5,6,NA,5,NA,4,5,NA,6,6,6,NA,NA,5,4,NA,NA,6,NA,NA,NA,7,5,NA,NA,NA,NA,4,NA,6,NA,4,NA,NA,5,5,6,NA,8
"u551",NA,NA,NA,6,NA,NA,NA,NA,4,6,NA,NA,NA,4,5,3,NA,6,NA,NA,NA,NA,NA,NA,5,NA,6,5,NA,6,NA,NA,6,NA,6,NA,NA,NA,5,5,NA,NA,9,NA,5,NA,7,NA,NA,6,6,5,5,5,4,NA,6,5,5,NA,NA,NA,NA,6,6,5,5,5,7,6,5,6,5,NA,NA,NA,NA,5,NA,5,NA,5,7,6,NA,5,NA,NA,NA,NA,5,7,7,NA,NA,NA,NA,NA,NA,NA
"u552",7,6,7,6,6,4,6,6,4,NA,5,NA,NA,6,NA,3,NA,NA,6,5,6,NA,NA,6,NA,NA,NA,5,NA,6,4,5,NA,5,5,4,NA,NA,7,NA,4,NA,NA,NA,NA,7,NA,6,NA,5,NA,NA,NA,NA,NA,4,NA,5,NA,4,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,7,6,3,4,NA,NA,NA,5,NA,6,NA,NA,7,5,NA,NA,NA,6,5,NA,NA,6,6,4,NA,5,NA,6,6,NA
"u553",6,5,NA,5,5,7,NA,NA,NA,NA,5,3,NA,6,7,NA,NA,NA,8,NA,5,7,4,5,NA,NA,NA,NA,6,NA,NA,5,6,5,6,5,4,3,7,5,NA,5,NA,NA,NA,8,3,NA,5,NA,8,4,6,6,4,NA,NA,NA,NA,6,NA,NA,5,3,NA,7,NA,NA,7,5,NA,4,NA,NA,5,NA,4,4,NA,6,4,NA,NA,4,6,NA,6,NA,5,NA,5,NA,6,5,NA,4,NA,6,NA,NA
"u554",5,4,5,NA,NA,NA,NA,5,NA,7,NA,4,NA,6,5,NA,5,6,7,5,NA,6,NA,NA,6,5,7,4,NA,5,NA,4,5,NA,7,NA,5,5,NA,NA,3,NA,NA,5,4,NA,7,6,6,5,NA,NA,6,NA,5,NA,NA,NA,5,NA,NA,5,7,NA,NA,4,4,NA,NA,NA,NA,5,NA,NA,NA,4,6,5,NA,NA,NA,NA,7,NA,NA,5,NA,5,6,5,6,NA,6,NA,NA,NA,NA,NA,5,7
"u555",5,4,6,5,NA,NA,NA,NA,NA,7,5,NA,NA,4,NA,NA,NA,NA,6,6,NA,6,NA,5,NA,NA,NA,5,5,6,NA,NA,6,NA,6,4,6,NA,6,5,5,5,NA,NA,4,NA,5,NA,NA,5,NA,5,4,4,4,NA,NA,NA,6,NA,6,3,NA,NA,6,4,6,NA,7,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,4,NA,5,5,5,5,5,NA,NA,NA,NA,6,6,6,NA,6,NA
"u556",7,NA,NA,NA,NA,NA,NA,NA,6,7,5,NA,4,NA,NA,5,5,NA,6,6,NA,5,4,4,6,NA,7,5,NA,5,NA,4,5,4,NA,NA,5,NA,NA,5,NA,NA,7,4,5,NA,7,6,5,NA,7,NA,7,6,4,4,NA,6,NA,NA,NA,5,NA,4,NA,NA,6,NA,7,6,NA,3,4,NA,NA,NA,5,NA,NA,7,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,5,7,NA,NA
"u557",6,5,8,6,NA,4,NA,6,NA,NA,4,NA,NA,NA,6,NA,NA,NA,7,NA,NA,NA,5,6,NA,NA,NA,NA,4,NA,5,4,NA,3,NA,3,6,5,NA,NA,4,NA,NA,NA,6,6,NA,NA,NA,6,5,NA,NA,5,NA,NA,6,5,NA,NA,NA,NA,5,NA,NA,NA,NA,6,6,6,6,NA,5,NA,6,NA,3,5,5,NA,4,7,NA,NA,5,5,5,6,5,5,4,NA,4,6,4,NA,5,NA,NA,NA
"u558",NA,NA,7,NA,NA,NA,7,6,6,NA,NA,4,6,NA,NA,NA,5,6,NA,4,NA,NA,NA,NA,NA,NA,6,4,5,NA,NA,NA,6,NA,NA,4,5,NA,NA,6,NA,NA,NA,NA,5,NA,4,NA,6,5,7,6,7,NA,5,4,NA,NA,5,5,NA,4,NA,NA,NA,NA,4,5,NA,NA,NA,NA,3,6,5,5,5,5,4,6,NA,NA,NA,NA,NA,NA,6,NA,NA,4,NA,NA,NA,6,NA,NA,6,NA,NA,7
"u559",NA,4,NA,5,NA,NA,6,NA,8,NA,2,5,NA,5,5,3,6,4,NA,NA,NA,7,4,NA,7,6,NA,NA,NA,NA,4,5,NA,5,5,5,6,NA,5,NA,NA,5,NA,4,NA,NA,7,NA,NA,NA,NA,4,6,NA,NA,NA,NA,3,4,4,NA,NA,NA,NA,NA,6,NA,6,NA,5,NA,NA,4,NA,5,NA,5,6,NA,4,NA,4,NA,5,5,3,NA,NA,NA,NA,7,6,NA,6,NA,6,NA,5,NA,7
"u560",NA,5,NA,6,5,NA,6,7,NA,NA,5,NA,5,6,NA,NA,5,5,7,NA,6,NA,2,6,6,NA,7,NA,NA,NA,NA,4,NA,NA,5,NA,NA,4,6,6,NA,NA,7,4,NA,7,NA,5,NA,6,6,NA,NA,NA,NA,NA,6,NA,NA,NA,5,NA,NA,5,NA,NA,3,7,7,5,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,6,NA,5,NA,4,4,4,NA,5,5,NA,NA,5,NA,NA,NA,7,7
"u561",5,4,6,5,7,5,NA,6,NA,NA,5,NA,NA,NA,5,4,NA,5,NA,NA,5,NA,5,NA,7,5,NA,5,6,6,5,NA,NA,5,5,5,6,NA,NA,4,4,7,5,4,4,NA,5,5,7,5,6,6,5,NA,5,4,NA,5,5,8,7,NA,6,NA,6,NA,NA,NA,6,NA,NA,7,4,5,4,NA,NA,NA,NA,NA,5,5,NA,NA,6,4,4,NA,6,6,4,6,5,5,6,NA,NA,7,7,NA
"u562",6,4,NA,NA,5,6,6,NA,7,NA,NA,NA,NA,6,5,4,NA,NA,NA,NA,5,NA,NA,NA,6,5,8,6,NA,4,NA,NA,5,5,NA,NA,6,3,NA,NA,5,NA,NA,NA,4,NA,6,NA,5,5,NA,NA,NA,5,NA,5,7,NA,3,5,NA,5,7,NA,6,4,NA,NA,7,6,NA,NA,NA,NA,6,NA,NA,NA,NA,6,NA,4,NA,NA,6,NA,4,NA,NA,NA,6,4,NA,4,NA,6,3,NA,NA,6
